,program,output
58,OP7 -3 ; OP10 -2 ; OP6 4 -3 -3 3 ; OP3 7 ; OP5 -5 ; OP12 -18 ; OP8 -3 ; OP3 8 ; OP1 3,69
59,OP5 -5 ; OP4 1 ; OP5 13 ; OP10 0 ; OP12 3 ; OP1 4 ; OP3 9 ; OP10 3 ; OP4 5 ; OP7 3,7
60,OP5 -2 ; OP12 -15 ; OP3 8 ; OP12 -15 ; OP10 -5 ; OP1 1 ; OP7 4 ; OP12 -1 ; OP3 9 ; OP11 4 -7,-28
61,OP5 0 ; OP9 1 ; OP9 4 ; OP7 -16 ; OP11 2 -5,-10
62,OP5 1 ; OP9 -2 ; OP12 -20 ; OP8 -7 ; OP12 20,153
63,OP5 11 ; OP2 -5 ; OP10 -1 ; OP10 -2 ; OP4 1,9
64,OP5 6 ; OP11 -5 9 ; OP3 8 ; OP11 -5 -9 ; OP8 3 ; OP5 12 ; OP12 -10 ; OP3 8 ; OP10 2,-86
65,OP5 -9 ; OP9 2 ; OP1 1 ; OP2 2 ; OP4 2 ; OP1 3,-3
66,OP5 9 ; OP11 -3 -6 ; OP3 6 ; OP8 -4 ; OP1 2 ; OP3 8 ; OP6 3 -2 2 ; OP8 6 ; OP4 -1,-36
67,OP5 15 ; OP9 -3 ; OP7 17,-2
68,OP5 11 ; OP9 5 ; OP6 3 2 ; OP4 2,3
69,OP5 -13 ; OP12 1 ; OP1 0 ; OP6 0 4 ; OP10 3 ; OP11 -10 -6 ; OP6 3 -1 ; OP7 -10,7
70,OP5 -10 ; OP10 5 ; OP11 -4 5 ; OP11 -7 3,-21
71,OP9 0 ; OP11 -7 0 ; OP5 -10 ; OP12 19,9
72,OP5 14 ; OP5 -1 ; OP12 -6 ; OP3 4 ; OP1 2 ; OP3 6 ; OP12 -16,-29
73,OP5 1 ; OP6 0 4 -4 ; OP6 1 -2,-2
74,OP5 -6 ; OP10 -1 ; OP11 9 -10 ; OP11 6 3,18
75,OP5 4 ; OP6 3 -2 -2 -4 -4 ; OP11 5 3 ; OP10 5 ; OP3 5 ; OP11 4 5 ; OP6 4 -3 ; OP7 -5,-7
76,OP5 6 ; OP9 5 ; OP1 0 ; OP4 -2 ; OP7 -18 ; OP1 1,28
77,OP5 -9 ; OP6 -4 -2 1 ; OP1 0 ; OP12 -19 ; OP1 1 ; OP6 3 -2 3 -2 ; OP5 6,6
78,OP5 -17 ; OP9 -2 ; OP4 -2 ; OP10 -1 ; OP1 0 ; OP5 -20 ; OP1 5 ; OP11 5 8 ; OP8 -6 ; OP1 1,-240
79,OP5 -12 ; OP7 0 ; OP12 -6,-18
80,OP5 4 ; OP7 -9 ; OP1 0 ; OP6 -3 0 ; OP3 6 ; OP12 14 ; OP8 6,0
81,OP5 20 ; OP9 -5 ; OP3 3 ; OP6 3 -4 3 3 4 ; OP3 5 ; OP6 2 -3 2 2 4 ; OP1 1 ; OP6 -3 -3,9
82,OP5 -11 ; OP11 5 3 ; OP10 -2,-26
83,OP5 8 ; OP2 -3 ; OP5 -20 ; OP8 8 ; OP12 2,-158
84,OP5 -12 ; OP12 8 ; OP8 -2 ; OP4 -3 ; OP10 0,4
85,OP5 -13 ; OP7 -13 ; OP3 3 ; OP1 1,13
86,OP5 -13 ; OP6 -4 0 -1 4 -2 ; OP12 19 ; OP1 0 ; OP8 -2 ; OP10 3 ; OP12 -3 ; OP1 1 ; OP2 -3,-113
87,OP5 6 ; OP2 -3 ; OP1 1 ; OP2 3 ; OP5 -5 ; OP1 0,-5
88,OP5 -15 ; OP11 -3 5 ; OP5 -2 ; OP1 0 ; OP12 3,1
89,OP5 17 ; OP11 -2 4 ; OP3 5 ; OP11 1 0 ; OP1 1 ; OP12 -5,-13
90,OP5 13 ; OP2 1 ; OP4 -2 ; OP5 7 ; OP11 8 -1,-8
91,OP5 -3 ; OP2 -5 ; OP9 3 ; OP4 -4 ; OP8 9 ; OP8 -7 ; OP9 -4 ; OP6 3 0 -4 0 ; OP11 -5 1 ; OP10 0,4
92,OP5 -9 ; OP9 0 ; OP6 2 0 -4 -1 3 ; OP3 9 ; OP10 -1 ; OP1 0 ; OP1 3 ; OP5 9 ; OP1 1 ; OP5 -7,-7
93,OP5 -17 ; OP8 7 ; OP2 -5 ; OP3 5 ; OP10 4 ; OP7 6 ; OP6 0 -4 3,0
94,OP5 12 ; OP2 3 ; OP5 -12 ; OP12 -18 ; OP10 4 ; OP5 -10 ; OP7 -13 ; OP11 6 -2,-12
95,OP5 10 ; OP2 -2 ; OP5 10 ; OP7 12 ; OP8 -6 ; OP1 3 ; OP12 -8 ; OP4 4 ; OP10 2,-4
96,OP5 0 ; OP2 -5 ; OP5 -9,-9
97,OP5 -9 ; OP11 1 0 ; OP1 1 ; OP12 -14 ; OP1 3 ; OP11 9 5 ; OP10 5 ; OP10 4,920
98,OP5 -2 ; OP6 -2 0 ; OP12 6 ; OP1 2 ; OP3 6 ; OP11 7 9 ; OP12 -16,-4
99,OP5 6 ; OP12 -7 ; OP11 -6 2 ; OP6 1 0 2 3 ; OP6 -4 -2 ; OP7 5 ; OP8 1,3
100,OP5 -7 ; OP11 -8 0 ; OP5 -17 ; OP6 -2 4 -4 -3 ; OP10 0 ; OP3 7 ; OP1 3 ; OP1 1 ; OP2 5,4
101,OP5 2 ; OP2 -4 ; OP10 0 ; OP8 7,28
102,OP5 14 ; OP10 3 ; OP7 -20 ; OP1 2,86
103,OP5 0 ; OP6 -1 3 -2 3 -3 ; OP6 -1 3 ; OP1 1 ; OP12 0 ; OP7 15,-18
104,OP5 -16 ; OP11 -4 4 ; OP9 3 ; OP4 0 ; OP7 -1 ; OP1 4 ; OP6 -4 2 4 ; OP1 1 ; OP4 4 ; OP10 -5,84
105,OP5 17 ; OP10 -1 ; OP6 2 0 1 -4 4 ; OP12 -1,-1
106,OP5 0 ; OP9 5 ; OP6 0 3 -4 ; OP1 2 ; OP7 -13 ; OP12 -11 ; OP1 0,2
107,OP5 -19 ; OP8 -1 ; OP8 8 ; OP5 1 ; OP1 0 ; OP5 16 ; OP7 16,0
108,OP10 -2 ; OP2 5 ; OP3 8 ; OP3 8 ; OP2 3 ; OP5 15 ; OP4 1 ; OP7 7 ; OP8 7,28
109,OP5 1 ; OP2 2 ; OP12 2 ; OP5 -18 ; OP11 10 -7 ; OP7 14 ; OP5 13 ; OP1 3,13
110,OP5 -16 ; OP6 -3 -4 ; OP6 -2 -4 0 3 ; OP6 -4 3 2 3 ; OP4 -3,-36
111,OP5 -12 ; OP4 5 ; OP12 -11 ; OP10 0,4
112,OP5 -13 ; OP9 0 ; OP12 14 ; OP4 5 ; OP5 15 ; OP3 7 ; OP3 7 ; OP1 3,15
113,OP5 19 ; OP2 0 ; OP4 -1,9
114,OP5 3 ; OP9 1 ; OP1 1 ; OP1 2 ; OP7 2 ; OP1 4 ; OP6 -1 4 -4 ; OP7 19,-3
115,OP5 -18 ; OP8 7 ; OP3 6 ; OP8 3 ; OP1 1 ; OP12 10 ; OP8 -6 ; OP4 4 ; OP6 4 1 -1 -3 ; OP7 2,10
116,OP5 17 ; OP9 5 ; OP9 -1,17
117,OP5 6 ; OP6 3 3 -4 ; OP1 1 ; OP11 -8 4 ; OP10 2,-60
118,OP5 12 ; OP2 2 ; OP5 17 ; OP1 1 ; OP8 -3 ; OP2 0 ; OP7 7 ; OP4 1 ; OP12 -12 ; OP6 -2 -1 -1 3,-6
119,OP5 -9 ; OP5 6 ; OP10 -1 ; OP10 -4 ; OP8 6 ; OP11 5 4 ; OP2 4 ; OP6 -3 2 ; OP1 7,-6
120,OP5 -13 ; OP6 4 2 -2 1 -2 ; OP9 -5 ; OP11 8 -4 ; OP7 -5 ; OP5 -5 ; OP5 -5 ; OP1 0,-5
121,OP5 17 ; OP5 -9 ; OP1 1 ; OP4 -4 ; OP3 7 ; OP6 0 -2 -3 -4 -4 ; OP1 3 ; OP1 0,0
122,OP5 -3 ; OP7 -2 ; OP11 4 -6 ; OP5 10 ; OP1 3,10
123,OP5 -12 ; OP9 -2 ; OP3 4 ; OP12 -13 ; OP10 -2 ; OP7 15 ; OP1 4 ; OP1 4 ; OP1 7 ; OP6 -1 -3 -1 0,0
124,OP5 -8 ; OP4 -5 ; OP4 -2 ; OP1 2 ; OP9 5,-1
125,OP5 -6 ; OP9 -1 ; OP5 18 ; OP4 -3 ; OP1 0 ; OP3 6 ; OP12 -5 ; OP3 9 ; OP8 -4 ; OP1 4,4
126,OP5 -3 ; OP5 2 ; OP10 -1 ; OP10 2 ; OP12 18 ; OP7 -12 ; OP8 8 ; OP1 1 ; OP5 -1 ; OP12 18,17
127,OP5 5 ; OP6 4 1 2 2 ; OP6 -2 -2 ; OP11 1 7 ; OP5 -10 ; OP10 1 ; OP12 16 ; OP10 -2,-16
128,OP5 2 ; OP7 18 ; OP8 7,-112
129,OP5 20 ; OP9 -2 ; OP1 0 ; OP2 -4 ; OP8 6 ; OP1 2 ; OP4 -2 ; OP11 10 -10 ; OP1 1 ; OP12 2,-98
130,OP5 11 ; OP7 4 ; OP2 -1 ; OP7 -1 ; OP7 -17,25
131,OP5 8 ; OP9 -3 ; OP7 16 ; OP6 -4 0 4 3,0
132,OP5 13 ; OP6 -2 -3 ; OP1 1 ; OP8 9,54
133,OP5 6 ; OP2 -2 ; OP1 1 ; OP12 -5 ; OP6 -4 3 -4 1 -3,-144
134,OP7 -12 ; OP8 6 ; OP8 -1 ; OP8 2 ; OP4 5 ; OP1 2 ; OP11 2 9 ; OP6 -1 2 2 -3 2 ; OP4 4 ; OP5 -6,-6
135,OP5 -18 ; OP2 4 ; OP1 1 ; OP10 5 ; OP10 -4,348
136,OP5 -20 ; OP10 -4 ; OP3 3 ; OP10 3 ; OP5 -5,-5
137,OP5 14 ; OP2 2 ; OP1 0 ; OP2 3,14
138,OP5 7 ; OP2 -4 ; OP7 3 ; OP6 2 1 -2 0 ; OP8 -2 ; OP2 4 ; OP7 -4,4
139,OP5 -6 ; OP9 -2 ; OP12 10 ; OP10 -1 ; OP1 0 ; OP1 1 ; OP1 2 ; OP1 3 ; OP9 -5,4
140,OP5 13 ; OP7 -17 ; OP5 20 ; OP4 -1,10
141,OP5 12 ; OP9 -2 ; OP1 0 ; OP4 5,6
142,OP5 -9 ; OP9 4 ; OP8 2 ; OP10 -5 ; OP1 1 ; OP11 6 5 ; OP2 -3,30
143,OP5 7 ; OP7 -9 ; OP1 1 ; OP6 4 3 -3 2 ; OP1 3,-72
144,OP5 -16 ; OP10 -1 ; OP8 6 ; OP7 -5 ; OP3 5 ; OP1 2 ; OP11 -10 5 ; OP8 7 ; OP2 -1 ; OP5 -12,-12
145,OP5 14 ; OP2 -2 ; OP5 -12 ; OP7 15 ; OP4 -4 ; OP7 -13,-1
146,OP5 -7 ; OP11 4 -10 ; OP10 0,4
147,OP5 -10 ; OP2 -3 ; OP3 3 ; OP6 4 -2 ; OP10 2 ; OP1 0 ; OP9 -5 ; OP11 -10 -2 ; OP3 9 ; OP8 -2,-40
148,OP5 20 ; OP9 -5 ; OP8 -9 ; OP6 2 2 4 -1 ; OP11 1 -5,-5
149,OP5 4 ; OP2 3 ; OP8 8 ; OP1 1 ; OP11 -2 8 ; OP8 -1,16
150,OP5 4 ; OP9 4 ; OP6 2 -2 0 2 ; OP4 0 ; OP11 1 3 ; OP12 8 ; OP10 -4,-40
151,OP5 -8 ; OP10 0 ; OP10 -1 ; OP9 0 ; OP2 -2 ; OP5 15,15
152,OP7 1 ; OP2 0 ; OP1 0 ; OP12 10 ; OP5 -6 ; OP6 -4 2 0 -4 ; OP6 3 -2,-6
153,OP5 -19 ; OP11 4 10 ; OP4 -5 ; OP8 3 ; OP6 -2 -3 -2 -2 ; OP3 6 ; OP8 8 ; OP8 9 ; OP8 8 ; OP5 13,13
154,OP5 8 ; OP9 -1 ; OP10 5 ; OP2 0,44
155,OP5 12 ; OP8 -1 ; OP1 0 ; OP5 -19 ; OP11 -3 1 ; OP12 -10 ; OP8 -1 ; OP1 0 ; OP10 1,17
156,OP5 -14 ; OP7 -17 ; OP1 0 ; OP6 4 3 -4 ; OP1 3 ; OP3 8 ; OP10 1 ; OP11 -2 -5 ; OP1 3,10
157,OP5 13 ; OP2 -1 ; OP7 12 ; OP3 6 ; OP12 -16 ; OP1 2 ; OP1 0 ; OP1 0,-15
158,OP5 -9 ; OP2 -1 ; OP12 15 ; OP7 -11 ; OP8 1 ; OP1 2 ; OP1 2 ; OP6 3 -4 1 ; OP6 -2 -4 0 4 ; OP11 0 5,0
159,OP8 -9 ; OP4 2 ; OP1 0 ; OP12 -16 ; OP8 -2 ; OP6 0 2 3 -2 2,0
160,OP5 16 ; OP9 -1 ; OP1 0 ; OP8 8 ; OP7 13 ; OP6 0 2 -3 ; OP2 5,0
161,OP5 8 ; OP4 -4 ; OP3 3 ; OP3 6 ; OP1 3 ; OP10 -5 ; OP8 8,32
162,OP5 12 ; OP9 -3 ; OP7 -20,32
163,OP5 -12 ; OP9 1 ; OP12 -16 ; OP4 5 ; OP5 -10 ; OP4 -4 ; OP5 -10 ; OP11 1 -5,-5
164,OP5 5 ; OP11 -4 -4 ; OP9 0 ; OP1 1 ; OP5 5 ; OP5 -13 ; OP11 5 -9,-45
165,OP5 2 ; OP2 5 ; OP1 0 ; OP11 7 0 ; OP7 -9 ; OP5 4 ; OP1 1,4
166,OP5 3 ; OP12 2 ; OP11 6 8 ; OP7 19 ; OP2 -5 ; OP10 5 ; OP1 2 ; OP6 3 -1 -4 -2 0 ; OP12 18 ; OP1 4,18
167,OP6 -3 -3 ; OP7 13 ; OP1 0 ; OP11 0 7,0
168,OP5 12 ; OP7 15 ; OP1 1 ; OP5 -10 ; OP9 3 ; OP10 -2 ; OP3 7 ; OP3 8 ; OP6 -2 -1 4 -2 1,-16
169,OP5 15 ; OP2 -1 ; OP1 1 ; OP3 5 ; OP1 3 ; OP6 -1 2 3 ; OP1 3,-6
170,OP5 5 ; OP6 -4 -2 2 -2 3 ; OP3 3 ; OP6 -1 -3 -3 2 -3 ; OP11 -5 -6 ; OP1 2 ; OP8 -6 ; OP6 -2 4,-8
171,OP5 2 ; OP9 -5 ; OP3 4 ; OP10 2 ; OP3 8 ; OP4 -2 ; OP12 16 ; OP1 5 ; OP6 4 -1 3 1 -1,12
172,OP5 -14 ; OP8 -2 ; OP6 1 -3 0 ; OP8 -3 ; OP6 0 0 ; OP3 6 ; OP1 0 ; OP4 0 ; OP4 -4,0
173,OP5 0 ; OP8 7 ; OP4 1 ; OP12 -16 ; OP1 3 ; OP12 -17 ; OP8 9 ; OP5 -9 ; OP7 -20 ; OP7 -4,15
174,OP5 5 ; OP7 16 ; OP1 1 ; OP2 2 ; OP8 2,-54
175,OP5 -15 ; OP11 9 4 ; OP12 16 ; OP5 0 ; OP1 1 ; OP1 1 ; OP5 1,1
176,OP5 -15 ; OP2 4 ; OP10 -1 ; OP4 -3,9
177,OP5 -20 ; OP12 -20 ; OP9 -3,-40
178,OP5 -8 ; OP2 3 ; OP1 1 ; OP5 15 ; OP3 7 ; OP3 7 ; OP1 3 ; OP1 4,15
179,OP10 3 ; OP10 5 ; OP6 -2 -4 2 1 -2 ; OP1 0,-32
180,OP5 14 ; OP11 7 -1 ; OP1 1 ; OP9 -1,-7
181,OP5 1 ; OP4 -5 ; OP6 0 -3 0 ; OP1 2,0
182,OP5 20 ; OP9 -3 ; OP11 -1 -9 ; OP1 0 ; OP5 16 ; OP11 6 -8,-48
183,OP5 15 ; OP6 4 -1 3 -2 ; OP6 -3 -3 -4 2 ; OP1 0 ; OP2 -2 ; OP7 8 ; OP1 3 ; OP12 8 ; OP8 -8,640
184,OP5 18 ; OP12 -7 ; OP1 1 ; OP8 1 ; OP2 -4 ; OP12 -13 ; OP6 -2 -1 -4 1 ; OP11 1 7 ; OP9 4,7
185,OP5 -3 ; OP12 -11 ; OP1 1 ; OP1 1 ; OP7 -16,-20
186,OP5 3 ; OP4 -4 ; OP2 -3 ; OP6 2 -1 1 -1 ; OP3 5 ; OP3 6 ; OP6 1 3 1 1 1,3
187,OP5 -8 ; OP6 -3 0 1 -4 0 ; OP11 -7 2 ; OP10 0 ; OP11 9 -5 ; OP1 4 ; OP5 17 ; OP10 5,89
188,OP5 -9 ; OP5 1 ; OP7 8 ; OP8 -8 ; OP10 5,284
189,OP5 6 ; OP10 0 ; OP10 -3 ; OP5 -15 ; OP3 5 ; OP8 -1 ; OP9 -3 ; OP8 7 ; OP1 2,105
190,OP5 -16 ; OP10 -5 ; OP1 1,-416
191,OP5 -15 ; OP2 1 ; OP10 5 ; OP7 0 ; OP1 0 ; OP4 1 ; OP1 0 ; OP11 1 -3 ; OP11 -4 8 ; OP9 -2,-32
192,OP5 9 ; OP8 2 ; OP1 0,18
193,OP5 10 ; OP2 2 ; OP1 1 ; OP11 -8 -8,64
194,OP5 -10 ; OP2 2 ; OP10 0 ; OP10 1,8
195,OP5 1 ; OP5 15 ; OP11 3 -2 ; OP1 0 ; OP8 2 ; OP12 -7 ; OP12 -13 ; OP11 -10 -10 ; OP6 -4 4,-16
196,OP5 -5 ; OP2 -1 ; OP3 5 ; OP3 7 ; OP4 0 ; OP11 -4 10 ; OP5 11 ; OP3 8 ; OP7 19 ; OP12 -12,-20
197,OP5 5 ; OP8 1 ; OP5 -1 ; OP8 -6 ; OP1 2 ; OP6 -3 0 ; OP7 19 ; OP3 8 ; OP1 1,-19
198,OP5 -13 ; OP6 3 -1 -1 -4 2 ; OP10 -3 ; OP7 -4 ; OP6 4 3 -3 -1 -3 ; OP4 -4 ; OP6 0 4 ; OP7 11 ; OP11 10 1 ; OP6 -1 -1,1
199,OP5 -8 ; OP5 10 ; OP8 4 ; OP11 -1 5 ; OP2 -2,-5
200,OP5 15 ; OP6 -4 1 0 0 -3 ; OP1 1 ; OP6 2 -4 1 ; OP8 -6 ; OP1 2 ; OP1 3 ; OP2 3,48
201,OP5 11 ; OP2 0 ; OP11 10 6 ; OP9 0 ; OP1 0 ; OP4 -2,30
202,OP5 -13 ; OP5 -2 ; OP7 -3 ; OP5 4,4
203,OP5 0 ; OP11 -4 4 ; OP7 -18 ; OP7 4 ; OP10 3 ; OP11 6 -1 ; OP5 -8,-8
204,OP5 17 ; OP12 -2 ; OP12 -15 ; OP11 -6 -5 ; OP6 -1 1 -3 -1,-3
205,OP9 3 ; OP9 -4 ; OP6 -2 2 ; OP9 -1 ; OP8 -2,8
206,OP5 -2 ; OP2 4 ; OP5 -6 ; OP1 1 ; OP11 -7 -4 ; OP7 -3 ; OP5 2,2
207,OP5 18 ; OP9 -5 ; OP3 5 ; OP1 0 ; OP1 2 ; OP1 0,18
208,OP5 18 ; OP6 1 2 3 ; OP9 -3 ; OP3 6 ; OP7 6 ; OP5 1 ; OP6 1 0,0
209,OP5 3 ; OP2 0 ; OP12 -10 ; OP5 3 ; OP1 1 ; OP3 8 ; OP8 3 ; OP12 0 ; OP2 2,3
210,OP5 18 ; OP2 -3 ; OP12 -3 ; OP11 -5 -10 ; OP2 -5 ; OP5 6 ; OP1 2,6
211,OP5 -13 ; OP2 -4 ; OP5 19 ; OP10 1 ; OP6 -1 -2 4 ; OP6 -4 3 3 3 ; OP8 8,-864
212,OP5 19 ; OP9 2 ; OP4 -1 ; OP10 -3 ; OP2 0 ; OP10 -1 ; OP3 7 ; OP5 9,9
213,OP5 -19 ; OP8 5 ; OP10 2 ; OP2 2,-186
214,OP5 -2 ; OP9 1 ; OP8 -4 ; OP6 0 -3 3 ; OP4 0 ; OP2 -2 ; OP10 -3 ; OP6 4 2 0 -1 -1 ; OP1 7,0
215,OP6 2 1 ; OP10 4 ; OP3 4 ; OP2 -3 ; OP5 -5 ; OP2 4,-5
216,OP5 20 ; OP4 -2 ; OP5 16 ; OP6 -4 1 3 0 1 ; OP3 9 ; OP12 0 ; OP1 2 ; OP10 4 ; OP3 9 ; OP5 11,11
217,OP5 -9 ; OP6 3 4 -4 3 -2 ; OP12 16 ; OP7 -12 ; OP10 3,952
218,OP5 -9 ; OP2 0 ; OP1 0 ; OP2 0 ; OP11 4 1 ; OP5 16 ; OP7 -6 ; OP4 1 ; OP1 6 ; OP9 -1,8
219,OP5 8 ; OP6 -4 4 -1 3 ; OP8 -1 ; OP4 -1 ; OP3 6 ; OP7 -9 ; OP1 5 ; OP1 6,-15
